 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
    -2.3369  139.9576     2020-10-01 00:00:00     0.037
    -2.3369  139.9576     2020-10-01 01:00:00    -0.163
    -2.3369  139.9576     2020-10-01 02:00:00    -0.334
    -2.3369  139.9576     2020-10-01 03:00:00    -0.432
    -2.3369  139.9576     2020-10-01 04:00:00    -0.433
    -2.3369  139.9576     2020-10-01 05:00:00    -0.334
    -2.3369  139.9576     2020-10-01 06:00:00    -0.159
    -2.3369  139.9576     2020-10-01 07:00:00     0.050
    -2.3369  139.9576     2020-10-01 08:00:00     0.241
    -2.3369  139.9576     2020-10-01 09:00:00     0.369
    -2.3369  139.9576     2020-10-01 10:00:00     0.402
    -2.3369  139.9576     2020-10-01 11:00:00     0.335
    -2.3369  139.9576     2020-10-01 12:00:00     0.186
    -2.3369  139.9576     2020-10-01 13:00:00    -0.005
    -2.3369  139.9576     2020-10-01 14:00:00    -0.189
    -2.3369  139.9576     2020-10-01 15:00:00    -0.317
    -2.3369  139.9576     2020-10-01 16:00:00    -0.358
    -2.3369  139.9576     2020-10-01 17:00:00    -0.301
    -2.3369  139.9576     2020-10-01 18:00:00    -0.161
    -2.3369  139.9576     2020-10-01 19:00:00     0.023
    -2.3369  139.9576     2020-10-01 20:00:00     0.205
    -2.3369  139.9576     2020-10-01 21:00:00     0.335
    -2.3369  139.9576     2020-10-01 22:00:00     0.379
    -2.3369  139.9576     2020-10-01 23:00:00     0.324
    -2.3369  139.9576     2020-10-02 00:00:00     0.185
    -2.3369  139.9576     2020-10-02 01:00:00    -0.005
    -2.3369  139.9576     2020-10-02 02:00:00    -0.195
    -2.3369  139.9576     2020-10-02 03:00:00    -0.337
    -2.3369  139.9576     2020-10-02 04:00:00    -0.393
    -2.3369  139.9576     2020-10-02 05:00:00    -0.349
    -2.3369  139.9576     2020-10-02 06:00:00    -0.214
    -2.3369  139.9576     2020-10-02 07:00:00    -0.023
    -2.3369  139.9576     2020-10-02 08:00:00     0.176
    -2.3369  139.9576     2020-10-02 09:00:00     0.332
    -2.3369  139.9576     2020-10-02 10:00:00     0.405
    -2.3369  139.9576     2020-10-02 11:00:00     0.374
    -2.3369  139.9576     2020-10-02 12:00:00     0.248
