 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
     0.2959  119.0770     2020-10-01 00:00:00     0.398
     0.2959  119.0770     2020-10-01 01:00:00    -0.072
     0.2959  119.0770     2020-10-01 02:00:00    -0.517
     0.2959  119.0770     2020-10-01 03:00:00    -0.826
     0.2959  119.0770     2020-10-01 04:00:00    -0.920
     0.2959  119.0770     2020-10-01 05:00:00    -0.778
     0.2959  119.0770     2020-10-01 06:00:00    -0.439
     0.2959  119.0770     2020-10-01 07:00:00     0.006
     0.2959  119.0770     2020-10-01 08:00:00     0.440
     0.2959  119.0770     2020-10-01 09:00:00     0.747
     0.2959  119.0770     2020-10-01 10:00:00     0.846
     0.2959  119.0770     2020-10-01 11:00:00     0.711
     0.2959  119.0770     2020-10-01 12:00:00     0.375
     0.2959  119.0770     2020-10-01 13:00:00    -0.073
     0.2959  119.0770     2020-10-01 14:00:00    -0.514
     0.2959  119.0770     2020-10-01 15:00:00    -0.830
     0.2959  119.0770     2020-10-01 16:00:00    -0.935
     0.2959  119.0770     2020-10-01 17:00:00    -0.797
     0.2959  119.0770     2020-10-01 18:00:00    -0.447
     0.2959  119.0770     2020-10-01 19:00:00     0.027
     0.2959  119.0770     2020-10-01 20:00:00     0.503
     0.2959  119.0770     2020-10-01 21:00:00     0.860
     0.2959  119.0770     2020-10-01 22:00:00     1.004
     0.2959  119.0770     2020-10-01 23:00:00     0.896
     0.2959  119.0770     2020-10-02 00:00:00     0.563
     0.2959  119.0770     2020-10-02 01:00:00     0.090
     0.2959  119.0770     2020-10-02 02:00:00    -0.402
     0.2959  119.0770     2020-10-02 03:00:00    -0.786
     0.2959  119.0770     2020-10-02 04:00:00    -0.963
     0.2959  119.0770     2020-10-02 05:00:00    -0.888
     0.2959  119.0770     2020-10-02 06:00:00    -0.580
     0.2959  119.0770     2020-10-02 07:00:00    -0.120
     0.2959  119.0770     2020-10-02 08:00:00     0.371
     0.2959  119.0770     2020-10-02 09:00:00     0.766
     0.2959  119.0770     2020-10-02 10:00:00     0.959
     0.2959  119.0770     2020-10-02 11:00:00     0.901
     0.2959  119.0770     2020-10-02 12:00:00     0.604
     0.2959  119.0770     2020-10-02 13:00:00     0.145
     0.2959  119.0770     2020-10-02 14:00:00    -0.357
     0.2959  119.0770     2020-10-02 15:00:00    -0.771
     0.2959  119.0770     2020-10-02 16:00:00    -0.989
     0.2959  119.0770     2020-10-02 17:00:00    -0.954
     0.2959  119.0770     2020-10-02 18:00:00    -0.674
     0.2959  119.0770     2020-10-02 19:00:00    -0.222
     0.2959  119.0770     2020-10-02 20:00:00     0.286
     0.2959  119.0770     2020-10-02 21:00:00     0.716
     0.2959  119.0770     2020-10-02 22:00:00     0.957
     0.2959  119.0770     2020-10-02 23:00:00     0.947
     0.2959  119.0770     2020-10-03 00:00:00     0.688
     0.2959  119.0770     2020-10-03 01:00:00     0.247
     0.2959  119.0770     2020-10-03 02:00:00    -0.259
     0.2959  119.0770     2020-10-03 03:00:00    -0.698
     0.2959  119.0770     2020-10-03 04:00:00    -0.953
     0.2959  119.0770     2020-10-03 05:00:00    -0.958
     0.2959  119.0770     2020-10-03 06:00:00    -0.707
     0.2959  119.0770     2020-10-03 07:00:00    -0.266
     0.2959  119.0770     2020-10-03 08:00:00     0.253
     0.2959  119.0770     2020-10-03 09:00:00     0.716
     0.2959  119.0770     2020-10-03 10:00:00     1.002
     0.2959  119.0770     2020-10-03 11:00:00     1.037
     0.2959  119.0770     2020-10-03 12:00:00     0.812
     0.2959  119.0770     2020-10-03 13:00:00     0.383
     0.2959  119.0770     2020-10-03 14:00:00    -0.140
     0.2959  119.0770     2020-10-03 15:00:00    -0.624
     0.2959  119.0770     2020-10-03 16:00:00    -0.945
     0.2959  119.0770     2020-10-03 17:00:00    -1.022
     0.2959  119.0770     2020-10-03 18:00:00    -0.841
     0.2959  119.0770     2020-10-03 19:00:00    -0.450
     0.2959  119.0770     2020-10-03 20:00:00     0.046
     0.2959  119.0770     2020-10-03 21:00:00     0.516
     0.2959  119.0770     2020-10-03 22:00:00     0.836
     0.2959  119.0770     2020-10-03 23:00:00     0.922
     0.2959  119.0770     2020-10-04 00:00:00     0.754
     0.2959  119.0770     2020-10-04 01:00:00     0.377
     0.2959  119.0770     2020-10-04 02:00:00    -0.109
     0.2959  119.0770     2020-10-04 03:00:00    -0.573
     0.2959  119.0770     2020-10-04 04:00:00    -0.891
     0.2959  119.0770     2020-10-04 05:00:00    -0.976
     0.2959  119.0770     2020-10-04 06:00:00    -0.802
     0.2959  119.0770     2020-10-04 07:00:00    -0.410
     0.2959  119.0770     2020-10-04 08:00:00     0.102
     0.2959  119.0770     2020-10-04 09:00:00     0.603
     0.2959  119.0770     2020-10-04 10:00:00     0.966
     0.2959  119.0770     2020-10-04 11:00:00     1.099
     0.2959  119.0770     2020-10-04 12:00:00     0.967
     0.2959  119.0770     2020-10-04 13:00:00     0.604
     0.2959  119.0770     2020-10-04 14:00:00     0.102
     0.2959  119.0770     2020-10-04 15:00:00    -0.412
     0.2959  119.0770     2020-10-04 16:00:00    -0.809
     0.2959  119.0770     2020-10-04 17:00:00    -0.993
     0.2959  119.0770     2020-10-04 18:00:00    -0.923
     0.2959  119.0770     2020-10-04 19:00:00    -0.623
     0.2959  119.0770     2020-10-04 20:00:00    -0.179
     0.2959  119.0770     2020-10-04 21:00:00     0.289
     0.2959  119.0770     2020-10-04 22:00:00     0.656
     0.2959  119.0770     2020-10-04 23:00:00     0.825
     0.2959  119.0770     2020-10-05 00:00:00     0.753
     0.2959  119.0770     2020-10-05 01:00:00     0.460
     0.2959  119.0770     2020-10-05 02:00:00     0.027
     0.2959  119.0770     2020-10-05 03:00:00    -0.429
     0.2959  119.0770     2020-10-05 04:00:00    -0.783
     0.2959  119.0770     2020-10-05 05:00:00    -0.938
     0.2959  119.0770     2020-10-05 06:00:00    -0.847
     0.2959  119.0770     2020-10-05 07:00:00    -0.528
     0.2959  119.0770     2020-10-05 08:00:00    -0.058
     0.2959  119.0770     2020-10-05 09:00:00     0.446
     0.2959  119.0770     2020-10-05 10:00:00     0.858
     0.2959  119.0770     2020-10-05 11:00:00     1.076
     0.2959  119.0770     2020-10-05 12:00:00     1.045
     0.2959  119.0770     2020-10-05 13:00:00     0.774
     0.2959  119.0770     2020-10-05 14:00:00     0.333
     0.2959  119.0770     2020-10-05 15:00:00    -0.168
     0.2959  119.0770     2020-10-05 16:00:00    -0.604
     0.2959  119.0770     2020-10-05 17:00:00    -0.870
     0.2959  119.0770     2020-10-05 18:00:00    -0.908
     0.2959  119.0770     2020-10-05 19:00:00    -0.717
     0.2959  119.0770     2020-10-05 20:00:00    -0.357
     0.2959  119.0770     2020-10-05 21:00:00     0.069
     0.2959  119.0770     2020-10-05 22:00:00     0.445
     0.2959  119.0770     2020-10-05 23:00:00     0.669
     0.2959  119.0770     2020-10-06 00:00:00     0.682
     0.2959  119.0770     2020-10-06 01:00:00     0.483
     0.2959  119.0770     2020-10-06 02:00:00     0.126
     0.2959  119.0770     2020-10-06 03:00:00    -0.288
     0.2959  119.0770     2020-10-06 04:00:00    -0.647
     0.2959  119.0770     2020-10-06 05:00:00    -0.850
     0.2959  119.0770     2020-10-06 06:00:00    -0.836
     0.2959  119.0770     2020-10-06 07:00:00    -0.602
     0.2959  119.0770     2020-10-06 08:00:00    -0.201
     0.2959  119.0770     2020-10-06 09:00:00     0.270
     0.2959  119.0770     2020-10-06 10:00:00     0.697
     0.2959  119.0770     2020-10-06 11:00:00     0.975
     0.2959  119.0770     2020-10-06 12:00:00     1.036
     0.2959  119.0770     2020-10-06 13:00:00     0.869
     0.2959  119.0770     2020-10-06 14:00:00     0.518
     0.2959  119.0770     2020-10-06 15:00:00     0.071
     0.2959  119.0770     2020-10-06 16:00:00    -0.360
     0.2959  119.0770     2020-10-06 17:00:00    -0.674
     0.2959  119.0770     2020-10-06 18:00:00    -0.800
     0.2959  119.0770     2020-10-06 19:00:00    -0.718
     0.2959  119.0770     2020-10-06 20:00:00    -0.462
     0.2959  119.0770     2020-10-06 21:00:00    -0.112
     0.2959  119.0770     2020-10-06 22:00:00     0.234
     0.2959  119.0770     2020-10-06 23:00:00     0.477
     0.2959  119.0770     2020-10-07 00:00:00     0.553
     0.2959  119.0770     2020-10-07 01:00:00     0.441
     0.2959  119.0770     2020-10-07 02:00:00     0.173
     0.2959  119.0770     2020-10-07 03:00:00    -0.174
     0.2959  119.0770     2020-10-07 04:00:00    -0.506
     0.2959  119.0770     2020-10-07 05:00:00    -0.727
     0.2959  119.0770     2020-10-07 06:00:00    -0.772
     0.2959  119.0770     2020-10-07 07:00:00    -0.622
     0.2959  119.0770     2020-10-07 08:00:00    -0.306
     0.2959  119.0770     2020-10-07 09:00:00     0.103
     0.2959  119.0770     2020-10-07 10:00:00     0.508
     0.2959  119.0770     2020-10-07 11:00:00     0.813
     0.2959  119.0770     2020-10-07 12:00:00     0.946
     0.2959  119.0770     2020-10-07 13:00:00     0.880
     0.2959  119.0770     2020-10-07 14:00:00     0.634
     0.2959  119.0770     2020-10-07 15:00:00     0.274
     0.2959  119.0770     2020-10-07 16:00:00    -0.113
     0.2959  119.0770     2020-10-07 17:00:00    -0.433
     0.2959  119.0770     2020-10-07 18:00:00    -0.616
     0.2959  119.0770     2020-10-07 19:00:00    -0.628
     0.2959  119.0770     2020-10-07 20:00:00    -0.481
     0.2959  119.0770     2020-10-07 21:00:00    -0.229
     0.2959  119.0770     2020-10-07 22:00:00     0.050
     0.2959  119.0770     2020-10-07 23:00:00     0.276
     0.2959  119.0770     2020-10-08 00:00:00     0.382
     0.2959  119.0770     2020-10-08 01:00:00     0.340
     0.2959  119.0770     2020-10-08 02:00:00     0.161
     0.2959  119.0770     2020-10-08 03:00:00    -0.103
     0.2959  119.0770     2020-10-08 04:00:00    -0.379
     0.2959  119.0770     2020-10-08 05:00:00    -0.588
     0.2959  119.0770     2020-10-08 06:00:00    -0.667
     0.2959  119.0770     2020-10-08 07:00:00    -0.587
     0.2959  119.0770     2020-10-08 08:00:00    -0.360
     0.2959  119.0770     2020-10-08 09:00:00    -0.034
     0.2959  119.0770     2020-10-08 10:00:00     0.317
     0.2959  119.0770     2020-10-08 11:00:00     0.613
     0.2959  119.0770     2020-10-08 12:00:00     0.787
     0.2959  119.0770     2020-10-08 13:00:00     0.805
     0.2959  119.0770     2020-10-08 14:00:00     0.669
     0.2959  119.0770     2020-10-08 15:00:00     0.415
     0.2959  119.0770     2020-10-08 16:00:00     0.110
     0.2959  119.0770     2020-10-08 17:00:00    -0.175
     0.2959  119.0770     2020-10-08 18:00:00    -0.376
     0.2959  119.0770     2020-10-08 19:00:00    -0.456
     0.2959  119.0770     2020-10-08 20:00:00    -0.410
     0.2959  119.0770     2020-10-08 21:00:00    -0.268
     0.2959  119.0770     2020-10-08 22:00:00    -0.081
     0.2959  119.0770     2020-10-08 23:00:00     0.090
     0.2959  119.0770     2020-10-09 00:00:00     0.191
     0.2959  119.0770     2020-10-09 01:00:00     0.192
     0.2959  119.0770     2020-10-09 02:00:00     0.090
     0.2959  119.0770     2020-10-09 03:00:00    -0.085
     0.2959  119.0770     2020-10-09 04:00:00    -0.285
     0.2959  119.0770     2020-10-09 05:00:00    -0.451
     0.2959  119.0770     2020-10-09 06:00:00    -0.533
     0.2959  119.0770     2020-10-09 07:00:00    -0.503
     0.2959  119.0770     2020-10-09 08:00:00    -0.358
     0.2959  119.0770     2020-10-09 09:00:00    -0.126
     0.2959  119.0770     2020-10-09 10:00:00     0.144
     0.2959  119.0770     2020-10-09 11:00:00     0.396
     0.2959  119.0770     2020-10-09 12:00:00     0.577
     0.2959  119.0770     2020-10-09 13:00:00     0.653
     0.2959  119.0770     2020-10-09 14:00:00     0.614
     0.2959  119.0770     2020-10-09 15:00:00     0.477
     0.2959  119.0770     2020-10-09 16:00:00     0.280
     0.2959  119.0770     2020-10-09 17:00:00     0.069
     0.2959  119.0770     2020-10-09 18:00:00    -0.108
     0.2959  119.0770     2020-10-09 19:00:00    -0.220
     0.2959  119.0770     2020-10-09 20:00:00    -0.254
     0.2959  119.0770     2020-10-09 21:00:00    -0.219
     0.2959  119.0770     2020-10-09 22:00:00    -0.141
     0.2959  119.0770     2020-10-09 23:00:00    -0.055
     0.2959  119.0770     2020-10-10 00:00:00     0.004
     0.2959  119.0770     2020-10-10 01:00:00     0.015
     0.2959  119.0770     2020-10-10 02:00:00    -0.031
     0.2959  119.0770     2020-10-10 03:00:00    -0.122
     0.2959  119.0770     2020-10-10 04:00:00    -0.233
     0.2959  119.0770     2020-10-10 05:00:00    -0.330
     0.2959  119.0770     2020-10-10 06:00:00    -0.385
     0.2959  119.0770     2020-10-10 07:00:00    -0.376
     0.2959  119.0770     2020-10-10 08:00:00    -0.298
     0.2959  119.0770     2020-10-10 09:00:00    -0.161
     0.2959  119.0770     2020-10-10 10:00:00     0.010
     0.2959  119.0770     2020-10-10 11:00:00     0.186
     0.2959  119.0770     2020-10-10 12:00:00     0.334
     0.2959  119.0770     2020-10-10 13:00:00     0.432
     0.2959  119.0770     2020-10-10 14:00:00     0.468
     0.2959  119.0770     2020-10-10 15:00:00     0.443
     0.2959  119.0770     2020-10-10 16:00:00     0.369
     0.2959  119.0770     2020-10-10 17:00:00     0.267
     0.2959  119.0770     2020-10-10 18:00:00     0.156
     0.2959  119.0770     2020-10-10 19:00:00     0.055
     0.2959  119.0770     2020-10-10 20:00:00    -0.024
     0.2959  119.0770     2020-10-10 21:00:00    -0.080
     0.2959  119.0770     2020-10-10 22:00:00    -0.115
     0.2959  119.0770     2020-10-10 23:00:00    -0.137
     0.2959  119.0770     2020-10-11 00:00:00    -0.154
     0.2959  119.0770     2020-10-11 01:00:00    -0.171
     0.2959  119.0770     2020-10-11 02:00:00    -0.191
     0.2959  119.0770     2020-10-11 03:00:00    -0.213
     0.2959  119.0770     2020-10-11 04:00:00    -0.231
     0.2959  119.0770     2020-10-11 05:00:00    -0.239
     0.2959  119.0770     2020-10-11 06:00:00    -0.234
     0.2959  119.0770     2020-10-11 07:00:00    -0.212
     0.2959  119.0770     2020-10-11 08:00:00    -0.174
     0.2959  119.0770     2020-10-11 09:00:00    -0.122
     0.2959  119.0770     2020-10-11 10:00:00    -0.059
     0.2959  119.0770     2020-10-11 11:00:00     0.011
     0.2959  119.0770     2020-10-11 12:00:00     0.085
     0.2959  119.0770     2020-10-11 13:00:00     0.160
     0.2959  119.0770     2020-10-11 14:00:00     0.233
     0.2959  119.0770     2020-10-11 15:00:00     0.298
     0.2959  119.0770     2020-10-11 16:00:00     0.349
     0.2959  119.0770     2020-10-11 17:00:00     0.378
     0.2959  119.0770     2020-10-11 18:00:00     0.375
     0.2959  119.0770     2020-10-11 19:00:00     0.334
     0.2959  119.0770     2020-10-11 20:00:00     0.253
     0.2959  119.0770     2020-10-11 21:00:00     0.139
     0.2959  119.0770     2020-10-11 22:00:00     0.002
     0.2959  119.0770     2020-10-11 23:00:00    -0.137
     0.2959  119.0770     2020-10-12 00:00:00    -0.258
     0.2959  119.0770     2020-10-12 01:00:00    -0.341
     0.2959  119.0770     2020-10-12 02:00:00    -0.373
     0.2959  119.0770     2020-10-12 03:00:00    -0.351
     0.2959  119.0770     2020-10-12 04:00:00    -0.285
     0.2959  119.0770     2020-10-12 05:00:00    -0.192
     0.2959  119.0770     2020-10-12 06:00:00    -0.097
     0.2959  119.0770     2020-10-12 07:00:00    -0.023
     0.2959  119.0770     2020-10-12 08:00:00     0.013
     0.2959  119.0770     2020-10-12 09:00:00     0.005
     0.2959  119.0770     2020-10-12 10:00:00    -0.036
     0.2959  119.0770     2020-10-12 11:00:00    -0.089
     0.2959  119.0770     2020-10-12 12:00:00    -0.129
     0.2959  119.0770     2020-10-12 13:00:00    -0.128
     0.2959  119.0770     2020-10-12 14:00:00    -0.071
     0.2959  119.0770     2020-10-12 15:00:00     0.044
     0.2959  119.0770     2020-10-12 16:00:00     0.199
     0.2959  119.0770     2020-10-12 17:00:00     0.363
     0.2959  119.0770     2020-10-12 18:00:00     0.497
     0.2959  119.0770     2020-10-12 19:00:00     0.563
     0.2959  119.0770     2020-10-12 20:00:00     0.537
     0.2959  119.0770     2020-10-12 21:00:00     0.411
     0.2959  119.0770     2020-10-12 22:00:00     0.205
     0.2959  119.0770     2020-10-12 23:00:00    -0.043
     0.2959  119.0770     2020-10-13 00:00:00    -0.284
     0.2959  119.0770     2020-10-13 01:00:00    -0.467
     0.2959  119.0770     2020-10-13 02:00:00    -0.553
     0.2959  119.0770     2020-10-13 03:00:00    -0.526
     0.2959  119.0770     2020-10-13 04:00:00    -0.399
     0.2959  119.0770     2020-10-13 05:00:00    -0.206
     0.2959  119.0770     2020-10-13 06:00:00     0.001
     0.2959  119.0770     2020-10-13 07:00:00     0.166
     0.2959  119.0770     2020-10-13 08:00:00     0.246
     0.2959  119.0770     2020-10-13 09:00:00     0.223
     0.2959  119.0770     2020-10-13 10:00:00     0.104
     0.2959  119.0770     2020-10-13 11:00:00    -0.072
     0.2959  119.0770     2020-10-13 12:00:00    -0.251
     0.2959  119.0770     2020-10-13 13:00:00    -0.374
     0.2959  119.0770     2020-10-13 14:00:00    -0.394
     0.2959  119.0770     2020-10-13 15:00:00    -0.291
     0.2959  119.0770     2020-10-13 16:00:00    -0.079
     0.2959  119.0770     2020-10-13 17:00:00     0.200
     0.2959  119.0770     2020-10-13 18:00:00     0.479
     0.2959  119.0770     2020-10-13 19:00:00     0.687
     0.2959  119.0770     2020-10-13 20:00:00     0.767
     0.2959  119.0770     2020-10-13 21:00:00     0.690
     0.2959  119.0770     2020-10-13 22:00:00     0.465
     0.2959  119.0770     2020-10-13 23:00:00     0.139
     0.2959  119.0770     2020-10-14 00:00:00    -0.217
     0.2959  119.0770     2020-10-14 01:00:00    -0.520
     0.2959  119.0770     2020-10-14 02:00:00    -0.699
     0.2959  119.0770     2020-10-14 03:00:00    -0.715
     0.2959  119.0770     2020-10-14 04:00:00    -0.566
     0.2959  119.0770     2020-10-14 05:00:00    -0.295
     0.2959  119.0770     2020-10-14 06:00:00     0.027
     0.2959  119.0770     2020-10-14 07:00:00     0.314
     0.2959  119.0770     2020-10-14 08:00:00     0.489
     0.2959  119.0770     2020-10-14 09:00:00     0.506
     0.2959  119.0770     2020-10-14 10:00:00     0.360
     0.2959  119.0770     2020-10-14 11:00:00     0.090
     0.2959  119.0770     2020-10-14 12:00:00    -0.229
     0.2959  119.0770     2020-10-14 13:00:00    -0.507
     0.2959  119.0770     2020-10-14 14:00:00    -0.663
     0.2959  119.0770     2020-10-14 15:00:00    -0.643
     0.2959  119.0770     2020-10-14 16:00:00    -0.443
     0.2959  119.0770     2020-10-14 17:00:00    -0.102
     0.2959  119.0770     2020-10-14 18:00:00     0.297
     0.2959  119.0770     2020-10-14 19:00:00     0.657
     0.2959  119.0770     2020-10-14 20:00:00     0.883
     0.2959  119.0770     2020-10-14 21:00:00     0.913
     0.2959  119.0770     2020-10-14 22:00:00     0.733
     0.2959  119.0770     2020-10-14 23:00:00     0.382
     0.2959  119.0770     2020-10-15 00:00:00    -0.058
     0.2959  119.0770     2020-10-15 01:00:00    -0.480
     0.2959  119.0770     2020-10-15 02:00:00    -0.780
     0.2959  119.0770     2020-10-15 03:00:00    -0.884
     0.2959  119.0770     2020-10-15 04:00:00    -0.767
     0.2959  119.0770     2020-10-15 05:00:00    -0.459
     0.2959  119.0770     2020-10-15 06:00:00    -0.042
     0.2959  119.0770     2020-10-15 07:00:00     0.375
     0.2959  119.0770     2020-10-15 08:00:00     0.684
     0.2959  119.0770     2020-10-15 09:00:00     0.800
     0.2959  119.0770     2020-10-15 10:00:00     0.693
     0.2959  119.0770     2020-10-15 11:00:00     0.387
     0.2959  119.0770     2020-10-15 12:00:00    -0.038
     0.2959  119.0770     2020-10-15 13:00:00    -0.471
     0.2959  119.0770     2020-10-15 14:00:00    -0.796
     0.2959  119.0770     2020-10-15 15:00:00    -0.923
     0.2959  119.0770     2020-10-15 16:00:00    -0.813
     0.2959  119.0770     2020-10-15 17:00:00    -0.488
     0.2959  119.0770     2020-10-15 18:00:00    -0.025
     0.2959  119.0770     2020-10-15 19:00:00     0.458
     0.2959  119.0770     2020-10-15 20:00:00     0.839
     0.2959  119.0770     2020-10-15 21:00:00     1.017
     0.2959  119.0770     2020-10-15 22:00:00     0.944
     0.2959  119.0770     2020-10-15 23:00:00     0.635
