 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
    -3.0891   95.0113     2020-10-01 00:00:00     0.243
    -3.0891   95.0113     2020-10-01 01:00:00     0.079
    -3.0891   95.0113     2020-10-01 02:00:00    -0.103
    -3.0891   95.0113     2020-10-01 03:00:00    -0.258
    -3.0891   95.0113     2020-10-01 04:00:00    -0.347
    -3.0891   95.0113     2020-10-01 05:00:00    -0.348
    -3.0891   95.0113     2020-10-01 06:00:00    -0.262
    -3.0891   95.0113     2020-10-01 07:00:00    -0.111
    -3.0891   95.0113     2020-10-01 08:00:00     0.065
    -3.0891   95.0113     2020-10-01 09:00:00     0.221
    -3.0891   95.0113     2020-10-01 10:00:00     0.316
    -3.0891   95.0113     2020-10-01 11:00:00     0.325
    -3.0891   95.0113     2020-10-01 12:00:00     0.247
    -3.0891   95.0113     2020-10-01 13:00:00     0.102
    -3.0891   95.0113     2020-10-01 14:00:00    -0.072
    -3.0891   95.0113     2020-10-01 15:00:00    -0.229
    -3.0891   95.0113     2020-10-01 16:00:00    -0.327
    -3.0891   95.0113     2020-10-01 17:00:00    -0.340
    -3.0891   95.0113     2020-10-01 18:00:00    -0.263
    -3.0891   95.0113     2020-10-01 19:00:00    -0.116
    -3.0891   95.0113     2020-10-01 20:00:00     0.065
    -3.0891   95.0113     2020-10-01 21:00:00     0.231
    -3.0891   95.0113     2020-10-01 22:00:00     0.341
    -3.0891   95.0113     2020-10-01 23:00:00     0.364
    -3.0891   95.0113     2020-10-02 00:00:00     0.294
    -3.0891   95.0113     2020-10-02 01:00:00     0.148
    -3.0891   95.0113     2020-10-02 02:00:00    -0.037
    -3.0891   95.0113     2020-10-02 03:00:00    -0.214
    -3.0891   95.0113     2020-10-02 04:00:00    -0.337
    -3.0891   95.0113     2020-10-02 05:00:00    -0.374
    -3.0891   95.0113     2020-10-02 06:00:00    -0.316
    -3.0891   95.0113     2020-10-02 07:00:00    -0.177
    -3.0891   95.0113     2020-10-02 08:00:00     0.008
    -3.0891   95.0113     2020-10-02 09:00:00     0.191
    -3.0891   95.0113     2020-10-02 10:00:00     0.326
    -3.0891   95.0113     2020-10-02 11:00:00     0.378
    -3.0891   95.0113     2020-10-02 12:00:00     0.334
    -3.0891   95.0113     2020-10-02 13:00:00     0.206
    -3.0891   95.0113     2020-10-02 14:00:00     0.027
    -3.0891   95.0113     2020-10-02 15:00:00    -0.157
    -3.0891   95.0113     2020-10-02 16:00:00    -0.299
    -3.0891   95.0113     2020-10-02 17:00:00    -0.362
    -3.0891   95.0113     2020-10-02 18:00:00    -0.330
    -3.0891   95.0113     2020-10-02 19:00:00    -0.213
    -3.0891   95.0113     2020-10-02 20:00:00    -0.042
    -3.0891   95.0113     2020-10-02 21:00:00     0.139
    -3.0891   95.0113     2020-10-02 22:00:00     0.281
    -3.0891   95.0113     2020-10-02 23:00:00     0.346
    -3.0891   95.0113     2020-10-03 00:00:00     0.318
    -3.0891   95.0113     2020-10-03 01:00:00     0.203
    -3.0891   95.0113     2020-10-03 02:00:00     0.030
    -3.0891   95.0113     2020-10-03 03:00:00    -0.155
    -3.0891   95.0113     2020-10-03 04:00:00    -0.304
    -3.0891   95.0113     2020-10-03 05:00:00    -0.377
    -3.0891   95.0113     2020-10-03 06:00:00    -0.353
    -3.0891   95.0113     2020-10-03 07:00:00    -0.239
    -3.0891   95.0113     2020-10-03 08:00:00    -0.061
    -3.0891   95.0113     2020-10-03 09:00:00     0.137
    -3.0891   95.0113     2020-10-03 10:00:00     0.303
    -3.0891   95.0113     2020-10-03 11:00:00     0.398
    -3.0891   95.0113     2020-10-03 12:00:00     0.397
    -3.0891   95.0113     2020-10-03 13:00:00     0.300
    -3.0891   95.0113     2020-10-03 14:00:00     0.134
    -3.0891   95.0113     2020-10-03 15:00:00    -0.060
    -3.0891   95.0113     2020-10-03 16:00:00    -0.233
    -3.0891   95.0113     2020-10-03 17:00:00    -0.341
    -3.0891   95.0113     2020-10-03 18:00:00    -0.359
    -3.0891   95.0113     2020-10-03 19:00:00    -0.284
    -3.0891   95.0113     2020-10-03 20:00:00    -0.139
    -3.0891   95.0113     2020-10-03 21:00:00     0.038
    -3.0891   95.0113     2020-10-03 22:00:00     0.197
    -3.0891   95.0113     2020-10-03 23:00:00     0.297
    -3.0891   95.0113     2020-10-04 00:00:00     0.311
    -3.0891   95.0113     2020-10-04 01:00:00     0.234
    -3.0891   95.0113     2020-10-04 02:00:00     0.087
    -3.0891   95.0113     2020-10-04 03:00:00    -0.091
    -3.0891   95.0113     2020-10-04 04:00:00    -0.253
    -3.0891   95.0113     2020-10-04 05:00:00    -0.355
    -3.0891   95.0113     2020-10-04 06:00:00    -0.368
    -3.0891   95.0113     2020-10-04 07:00:00    -0.287
    -3.0891   95.0113     2020-10-04 08:00:00    -0.129
    -3.0891   95.0113     2020-10-04 09:00:00     0.066
    -3.0891   95.0113     2020-10-04 10:00:00     0.252
    -3.0891   95.0113     2020-10-04 11:00:00     0.381
    -3.0891   95.0113     2020-10-04 12:00:00     0.424
    -3.0891   95.0113     2020-10-04 13:00:00     0.369
    -3.0891   95.0113     2020-10-04 14:00:00     0.232
    -3.0891   95.0113     2020-10-04 15:00:00     0.047
    -3.0891   95.0113     2020-10-04 16:00:00    -0.139
    -3.0891   95.0113     2020-10-04 17:00:00    -0.281
    -3.0891   95.0113     2020-10-04 18:00:00    -0.345
    -3.0891   95.0113     2020-10-04 19:00:00    -0.318
    -3.0891   95.0113     2020-10-04 20:00:00    -0.211
    -3.0891   95.0113     2020-10-04 21:00:00    -0.056
    -3.0891   95.0113     2020-10-04 22:00:00     0.104
    -3.0891   95.0113     2020-10-04 23:00:00     0.225
    -3.0891   95.0113     2020-10-05 00:00:00     0.274
    -3.0891   95.0113     2020-10-05 01:00:00     0.238
    -3.0891   95.0113     2020-10-05 02:00:00     0.126
    -3.0891   95.0113     2020-10-05 03:00:00    -0.032
    -3.0891   95.0113     2020-10-05 04:00:00    -0.193
    -3.0891   95.0113     2020-10-05 05:00:00    -0.313
    -3.0891   95.0113     2020-10-05 06:00:00    -0.358
    -3.0891   95.0113     2020-10-05 07:00:00    -0.313
    -3.0891   95.0113     2020-10-05 08:00:00    -0.187
    -3.0891   95.0113     2020-10-05 09:00:00    -0.009
    -3.0891   95.0113     2020-10-05 10:00:00     0.180
    -3.0891   95.0113     2020-10-05 11:00:00     0.333
    -3.0891   95.0113     2020-10-05 12:00:00     0.413
    -3.0891   95.0113     2020-10-05 13:00:00     0.403
    -3.0891   95.0113     2020-10-05 14:00:00     0.306
    -3.0891   95.0113     2020-10-05 15:00:00     0.147
    -3.0891   95.0113     2020-10-05 16:00:00    -0.034
    -3.0891   95.0113     2020-10-05 17:00:00    -0.193
    -3.0891   95.0113     2020-10-05 18:00:00    -0.292
    -3.0891   95.0113     2020-10-05 19:00:00    -0.311
    -3.0891   95.0113     2020-10-05 20:00:00    -0.250
    -3.0891   95.0113     2020-10-05 21:00:00    -0.129
    -3.0891   95.0113     2020-10-05 22:00:00     0.015
    -3.0891   95.0113     2020-10-05 23:00:00     0.142
    -3.0891   95.0113     2020-10-06 00:00:00     0.215
    -3.0891   95.0113     2020-10-06 01:00:00     0.215
    -3.0891   95.0113     2020-10-06 02:00:00     0.142
    -3.0891   95.0113     2020-10-06 03:00:00     0.014
    -3.0891   95.0113     2020-10-06 04:00:00    -0.133
    -3.0891   95.0113     2020-10-06 05:00:00    -0.258
    -3.0891   95.0113     2020-10-06 06:00:00    -0.327
    -3.0891   95.0113     2020-10-06 07:00:00    -0.317
    -3.0891   95.0113     2020-10-06 08:00:00    -0.228
    -3.0891   95.0113     2020-10-06 09:00:00    -0.077
    -3.0891   95.0113     2020-10-06 10:00:00     0.099
    -3.0891   95.0113     2020-10-06 11:00:00     0.260
    -3.0891   95.0113     2020-10-06 12:00:00     0.369
    -3.0891   95.0113     2020-10-06 13:00:00     0.400
    -3.0891   95.0113     2020-10-06 14:00:00     0.348
    -3.0891   95.0113     2020-10-06 15:00:00     0.227
    -3.0891   95.0113     2020-10-06 16:00:00     0.067
    -3.0891   95.0113     2020-10-06 17:00:00    -0.091
    -3.0891   95.0113     2020-10-06 18:00:00    -0.212
    -3.0891   95.0113     2020-10-06 19:00:00    -0.268
    -3.0891   95.0113     2020-10-06 20:00:00    -0.252
    -3.0891   95.0113     2020-10-06 21:00:00    -0.173
    -3.0891   95.0113     2020-10-06 22:00:00    -0.057
    -3.0891   95.0113     2020-10-06 23:00:00     0.060
    -3.0891   95.0113     2020-10-07 00:00:00     0.144
    -3.0891   95.0113     2020-10-07 01:00:00     0.172
    -3.0891   95.0113     2020-10-07 02:00:00     0.135
    -3.0891   95.0113     2020-10-07 03:00:00     0.043
    -3.0891   95.0113     2020-10-07 04:00:00    -0.080
    -3.0891   95.0113     2020-10-07 05:00:00    -0.198
    -3.0891   95.0113     2020-10-07 06:00:00    -0.279
    -3.0891   95.0113     2020-10-07 07:00:00    -0.298
    -3.0891   95.0113     2020-10-07 08:00:00    -0.246
    -3.0891   95.0113     2020-10-07 09:00:00    -0.132
    -3.0891   95.0113     2020-10-07 10:00:00     0.020
    -3.0891   95.0113     2020-10-07 11:00:00     0.175
    -3.0891   95.0113     2020-10-07 12:00:00     0.299
    -3.0891   95.0113     2020-10-07 13:00:00     0.363
    -3.0891   95.0113     2020-10-07 14:00:00     0.355
    -3.0891   95.0113     2020-10-07 15:00:00     0.278
    -3.0891   95.0113     2020-10-07 16:00:00     0.154
    -3.0891   95.0113     2020-10-07 17:00:00     0.012
    -3.0891   95.0113     2020-10-07 18:00:00    -0.114
    -3.0891   95.0113     2020-10-07 19:00:00    -0.197
    -3.0891   95.0113     2020-10-07 20:00:00    -0.220
    -3.0891   95.0113     2020-10-07 21:00:00    -0.186
    -3.0891   95.0113     2020-10-07 22:00:00    -0.108
    -3.0891   95.0113     2020-10-07 23:00:00    -0.014
    -3.0891   95.0113     2020-10-08 00:00:00     0.068
    -3.0891   95.0113     2020-10-08 01:00:00     0.114
    -3.0891   95.0113     2020-10-08 02:00:00     0.108
    -3.0891   95.0113     2020-10-08 03:00:00     0.052
    -3.0891   95.0113     2020-10-08 04:00:00    -0.038
    -3.0891   95.0113     2020-10-08 05:00:00    -0.139
    -3.0891   95.0113     2020-10-08 06:00:00    -0.221
    -3.0891   95.0113     2020-10-08 07:00:00    -0.260
    -3.0891   95.0113     2020-10-08 08:00:00    -0.242
    -3.0891   95.0113     2020-10-08 09:00:00    -0.167
    -3.0891   95.0113     2020-10-08 10:00:00    -0.050
    -3.0891   95.0113     2020-10-08 11:00:00     0.086
    -3.0891   95.0113     2020-10-08 12:00:00     0.210
    -3.0891   95.0113     2020-10-08 13:00:00     0.297
    -3.0891   95.0113     2020-10-08 14:00:00     0.328
    -3.0891   95.0113     2020-10-08 15:00:00     0.298
    -3.0891   95.0113     2020-10-08 16:00:00     0.218
    -3.0891   95.0113     2020-10-08 17:00:00     0.107
    -3.0891   95.0113     2020-10-08 18:00:00    -0.009
    -3.0891   95.0113     2020-10-08 19:00:00    -0.104
    -3.0891   95.0113     2020-10-08 20:00:00    -0.159
    -3.0891   95.0113     2020-10-08 21:00:00    -0.168
    -3.0891   95.0113     2020-10-08 22:00:00    -0.134
    -3.0891   95.0113     2020-10-08 23:00:00    -0.074
    -3.0891   95.0113     2020-10-09 00:00:00    -0.008
    -3.0891   95.0113     2020-10-09 01:00:00     0.043
    -3.0891   95.0113     2020-10-09 02:00:00     0.061
    -3.0891   95.0113     2020-10-09 03:00:00     0.041
    -3.0891   95.0113     2020-10-09 04:00:00    -0.012
    -3.0891   95.0113     2020-10-09 05:00:00    -0.084
    -3.0891   95.0113     2020-10-09 06:00:00    -0.155
    -3.0891   95.0113     2020-10-09 07:00:00    -0.203
    -3.0891   95.0113     2020-10-09 08:00:00    -0.213
    -3.0891   95.0113     2020-10-09 09:00:00    -0.179
    -3.0891   95.0113     2020-10-09 10:00:00    -0.103
    -3.0891   95.0113     2020-10-09 11:00:00     0.000
    -3.0891   95.0113     2020-10-09 12:00:00     0.111
    -3.0891   95.0113     2020-10-09 13:00:00     0.206
    -3.0891   95.0113     2020-10-09 14:00:00     0.267
    -3.0891   95.0113     2020-10-09 15:00:00     0.284
    -3.0891   95.0113     2020-10-09 16:00:00     0.254
    -3.0891   95.0113     2020-10-09 17:00:00     0.186
    -3.0891   95.0113     2020-10-09 18:00:00     0.097
    -3.0891   95.0113     2020-10-09 19:00:00     0.005
    -3.0891   95.0113     2020-10-09 20:00:00    -0.071
    -3.0891   95.0113     2020-10-09 21:00:00    -0.118
    -3.0891   95.0113     2020-10-09 22:00:00    -0.131
