 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
     4.8092  137.8341     2020-10-01 00:00:00     0.120
     4.8092  137.8341     2020-10-01 01:00:00    -0.156
     4.8092  137.8341     2020-10-01 02:00:00    -0.403
     4.8092  137.8341     2020-10-01 03:00:00    -0.559
     4.8092  137.8341     2020-10-01 04:00:00    -0.584
     4.8092  137.8341     2020-10-01 05:00:00    -0.470
     4.8092  137.8341     2020-10-01 06:00:00    -0.245
     4.8092  137.8341     2020-10-01 07:00:00     0.036
     4.8092  137.8341     2020-10-01 08:00:00     0.302
     4.8092  137.8341     2020-10-01 09:00:00     0.488
     4.8092  137.8341     2020-10-01 10:00:00     0.547
     4.8092  137.8341     2020-10-01 11:00:00     0.465
     4.8092  137.8341     2020-10-01 12:00:00     0.267
     4.8092  137.8341     2020-10-01 13:00:00     0.003
     4.8092  137.8341     2020-10-01 14:00:00    -0.257
     4.8092  137.8341     2020-10-01 15:00:00    -0.446
     4.8092  137.8341     2020-10-01 16:00:00    -0.514
     4.8092  137.8341     2020-10-01 17:00:00    -0.443
     4.8092  137.8341     2020-10-01 18:00:00    -0.253
     4.8092  137.8341     2020-10-01 19:00:00     0.008
     4.8092  137.8341     2020-10-01 20:00:00     0.270
     4.8092  137.8341     2020-10-01 21:00:00     0.466
     4.8092  137.8341     2020-10-01 22:00:00     0.543
     4.8092  137.8341     2020-10-01 23:00:00     0.480
     4.8092  137.8341     2020-10-02 00:00:00     0.293
     4.8092  137.8341     2020-10-02 01:00:00     0.028
     4.8092  137.8341     2020-10-02 02:00:00    -0.245
     4.8092  137.8341     2020-10-02 03:00:00    -0.458
     4.8092  137.8341     2020-10-02 04:00:00    -0.553
     4.8092  137.8341     2020-10-02 05:00:00    -0.507
     4.8092  137.8341     2020-10-02 06:00:00    -0.330
     4.8092  137.8341     2020-10-02 07:00:00    -0.067
     4.8092  137.8341     2020-10-02 08:00:00     0.215
     4.8092  137.8341     2020-10-02 09:00:00     0.443
     4.8092  137.8341     2020-10-02 10:00:00     0.557
     4.8092  137.8341     2020-10-02 11:00:00     0.529
